Accession	family	query_name	Resfams_description	Ontology_Level
MB-RF031	CblA	gb|ACT97415.1|ARO:3002999|CblA-1	CblA beta-lactamases (class a)	gene
MB-RF115	SHV	gb|AEJ08681.1|ARO:3001109|SHV-52	SHV related beta-lactamase (class a)	gene
MB-RF048	CTX-M	gb|AFJ59957.1|ARO:3001989|CTX-M-130	CTX-M beta-lactamase (class a) [ARO:3000016]	family
MB-RF090	NDM-CcrA	gb|AEX08599.1|ARO:3002356|NDM-6	A grouping of related NDM and CcrA beta-lactamases [ARO:3000057;ARO:3000578]	family
MB-RF044	ACT	gb|BAP68758.1|ARO:3001855|ACT-35	ACT betalactamase (class C) [ARO:3000072]	gene
MB-RF030	CARB	gb|AAF61417.1|ARO:3002244|CARB-5	CARB-PSE beta-lactamases (class a) [ARO:3000091;ARO:3000092]	family
MB-RF058	ErmC	gb|AAP74657.1|ARO:3000600|Erm(34)	ErmC: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000250]	variant
MB-RF127	TEM	gb|AAT45742.1|ARO:3000988|TEM-126	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF071	LRA-B	gb|ACH58990.1|ARO:3002511|LRA-12	LRA beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000852]	variant
MB-RF127	TEM	gb|AAF19151.1|ARO:3000938|TEM-72	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF127	TEM	gb|AAD45935.1|ARO:3000928|TEM-59	TEM beta-lactamase (class a) [ARO:3000014]	gene
MB-RF067	KPC	gb|ACS35345.1|ARO:3002320|KPC-10	Klebsiella pneumoniae carbapenem resistant (KPC) beta-lactamases (class a) [ARO:3000059]	gene
MB-RF098	OXA-cluster5	gb|AEV91551.1|ARO:3001711|OXA-212	OXA beta-lactamase (cluster 5), part of ClassD beta-lactamase [ARO:3000017]	variant
MB-RF063	IMP	gb|CAB94707.1|ARO:3002193|IMP-2	Plasmid mediated IMP-type carbapenemases (subclass B1 (metallo-) beta-lactamase) [ARO:3000020]	gene
