Accession	family	query_name	Resfams_description	Ontology_Level
RF0046	CblA	gb|ACT97415.1|ARO:3002999|CblA-1	CblA cephalosporin (class a) [ARO:3001209]	gene
RF0119	SHV-LEN	gb|AEJ08681.1|ARO:3001109|SHV-52	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	family
RF0059	CTXM	gb|AFJ59957.1|ARO:3001989|CTX-M-130	CTX-M beta-lactamase (class a) [ARO:3000016]	gene
RF0108	NDM-CcrA	gb|AEX08599.1|ARO:3002356|NDM-6	A grouping of related NDM and CcrA beta-lactamases [ARO:3000057;ARO:3000578]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	gb|BAP68758.1|ARO:3001855|ACT-35	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0044	CARB-PSE	gb|AAF61417.1|ARO:3002244|CARB-5	CARB-PSE beta-lactamases (class a) [ARO:3000091;ARO:3000092]	family
RF0067	Erm23S_rRNA_methyltrans	gb|AAP74657.1|ARO:3000600|Erm(34)	Emr 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance [ARO:3000560]	family
RF0126	TEM	gb|AAT45742.1|ARO:3000988|TEM-126	TEM beta-lactamase (class a) [ARO:3000014]	gene
RF0078	GOB	gb|ACH58990.1|ARO:3002511|LRA-12	GOB beta-lactamase (subclass B3 (metallo-) beta-lactamase) [ARO:3000850]	gene
RF0126	TEM	gb|AAF19151.1|ARO:3000938|TEM-72	TEM beta-lactamase (class a) [ARO:3000014]	gene
RF0126	TEM	gb|AAD45935.1|ARO:3000928|TEM-59	TEM beta-lactamase (class a) [ARO:3000014]	gene
RF0083	KPC	gb|ACS35345.1|ARO:3002320|KPC-10	Klebsiella pneumoniae carbapenem resistant (KPC) beta-lactamases (class a) [ARO:3000059]	gene
RF0056	ClassD	gb|AEV91551.1|ARO:3001711|OXA-212	Class D beta-lactamases [ARO:3000075;ARO:3000017]	family
RF0080	IMP	gb|CAB94707.1|ARO:3002193|IMP-2	Plasmid mediated IMP-type carbapenemases (subclass B1 (metallo-) beta-lactamase) [ARO:3000020]	gene
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	gb|CAA63264.1|ARO:3002012|CMY-1	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0056	ClassD	gb|AGW16411.1|ARO:3001517|OXA-329	Class D beta-lactamases [ARO:3000075;ARO:3000017]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	gb|AEV91214.1|ARO:3001832|ACT-10	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0056	ClassD	gb|BAO09635.1|ARO:3001557|OXA-371	Class D beta-lactamases [ARO:3000075;ARO:3000017]	family
RF0059	CTXM	gb|AFA51699.1|ARO:3001980|CTX-M-121	CTX-M beta-lactamase (class a) [ARO:3000016]	gene
RF0161	VEB-PER	gb|AAS48620.1|ARO:3002372|VEB-3	VEB and PER beta-lactamases (class a) [ARO:3000043;ARO:3000056]	family
RF0056	ClassD	gb|ACM67635.1|ARO:3001800|OXA-226	Class D beta-lactamases [ARO:3000075;ARO:3000017]	family
RF0059	CTXM	gb|AIS67611.1|ARO:3003163|CTX-M-155	CTX-M beta-lactamase (class a) [ARO:3000016]	gene
RF0062	DHA	gb|AIT76106.1|ARO:3002146|DHA-15	DHA beta-lactamase (class c) [ARO:3000068]	gene
RF0007	ABC_efflux	gb|ACB05808.1|ARO:3003109|msrE	ATP-binding cassette (ABC) antibiotic efflux pump [ARO:0010001]	family
RF0053	ClassA	gb|CAI43424.1|ARO:3002415|OXY-6-3	Class A beta-lactamase [ARO:3000078]	family
RF0033	APH3	gb|AAA26699.1|ARO:3002649|APH(3')-Va	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	gene
RF0003	AAC3-I	gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
RF0113	Qnr	gb|AFR46589.1|ARO:3002771|QnrB58	quninolone resistance protein (Qnr): antibiotic target protection protein [ARO:3000419]	variant
RF0053	ClassA	gb|CAI43422.1|ARO:3002413|OXY-6-1	Class A beta-lactamase [ARO:3000078]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	gb|AIT76099.1|ARO:3002125|CMY-114	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0056	ClassD	gb|AAQ08905.1|ARO:3001808|OXA-60	Class D beta-lactamases [ARO:3000075;ARO:3000017]	family
RF0056	ClassD	gb|CAJ77809.1|ARO:3001650|OXA-90	Class D beta-lactamases [ARO:3000075;ARO:3000017]	family
RF0120	SME	gb|AAG29813.1|ARO:3002380|SME-2	SME beta-lactamase (class a) [ARO:3000055]	gene
RF0002	AAC3	gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
RF0053	ClassA	gb|AAL79541.1|ARO:3002397|OXY-2-2	Class A beta-lactamase [ARO:3000078]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	gb|ACS44783.1|ARO:3002188|MOX-5	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0126	TEM	gb|AGE11905.1|ARO:3000904|TEM-34	TEM beta-lactamase (class a) [ARO:3000014]	gene
RF0056	ClassD	gb|CAM86994.1|ARO:3001617|OXA-69	Class D beta-lactamases [ARO:3000075;ARO:3000017]	family
RF0126	TEM	gb|AAO33760.1|ARO:3000879|TEM-7	TEM beta-lactamase (class a) [ARO:3000014]	gene
RF0119	SHV-LEN	gb|BAA84973.1|ARO:3001082|SHV-24	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	family
RF0113	Qnr	gb|AFU25658.1|ARO:3002762|QnrB47	quninolone resistance protein (Qnr): antibiotic target protection protein [ARO:3000419]	family
RF0056	ClassD	gb|CCE94500.1|ARO:3001502|OXA-256	Class D beta-lactamases [ARO:3000075;ARO:3000017]	family
RF0113	Qnr	gb|AEG74318.1|ARO:3002795|QnrS6	quninolone resistance protein (Qnr): antibiotic target protection protein [ARO:3000419]	family
RF0056	ClassD	gb|AGW16412.1|ARO:3001518|OXA-330	Class D beta-lactamases [ARO:3000075;ARO:3000017]	family
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	gb|ADM21467.1|ARO:3002053|CMY-42	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0005	AAC6-Ib	gb|AFJ11384.1|ARO:3002546|AAC(6')-Ib	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	variant
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	gb|AFU25635.1|ARO:3002083|CMY-70	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	gene
RF0076	GES	gb|AFK80745.1|ARO:3002350|GES-21	GES beta-lactamase (class a) [ARO:3000066]	gene
RF0119	SHV-LEN	gb|AAN04883.1|ARO:3001099|SHV-41	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	family
RF0056	ClassD	gb|AHN53381.1|ARO:3001577|OXA-391	Class D beta-lactamases [ARO:3000075;ARO:3000017]	family
RF0126	TEM	gb|AAR84298.1|ARO:3000996|TEM-132	TEM beta-lactamase (class a) [ARO:3000014]	gene
RF0027	ANT3	gb|CAH10847.1|ARO:3002620|aadA23	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	gene
