Accession	family	query_name	Resfams_description	Ontology_Level
MB-RF003	AAC3-I	MEG_20|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF003	AAC3-I	MEG_21|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF002	AAC3	MEG_22|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
MB-RF003	AAC3-I	MEG_23|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF002	AAC3	MEG_24|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
MB-RF003	AAC3-I	MEG_25|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF003	AAC3-I	MEG_26|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF003	AAC3-I	MEG_27|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF003	AAC3-I	MEG_28|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF003	AAC3-I	MEG_29|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF003	AAC3-I	MEG_30|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF002	AAC3	MEG_31|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
MB-RF003	AAC3-I	MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF003	AAC3-I	MEG_33|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF003	AAC3-I	MEG_34|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF002	AAC3	MEG_35|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	gene
MB-RF003	AAC3-I	MEG_36|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF003	AAC3-I	MEG_37|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF003	AAC3-I	MEG_41|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF003	AAC3-I	MEG_43|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF003	AAC3-I	MEG_44|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF003	AAC3-I	MEG_45|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
MB-RF003	AAC3-I	MEG_46|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	Aminoglycoside Acetyltransferase (AAC3-I) [ARO:3001205]	variant
