Accession	family	query_name	Resfams_description
MB-RF127	TEM	1000909371|WP_061158039.1|1|1|blaTEM-156|blaTEM|hydrolase|class_A_beta-lactamase_TEM-156	TEM beta-lactamase (class a) [ARO:3000014]	671.3
MB-RF034	ClassA	1000909371|WP_061158039.1|1|1|blaTEM-156|blaTEM|hydrolase|class_A_beta-lactamase_TEM-156	Class A beta-lactamase [ARO:3000078]	473.4
MB-RF047	PDC	1001043515|WP_061189306.1|1|1|blaPDC-114|blaPDC|hydrolase|class_C_beta-lactamase_PDC-114	PDC betalactamase (class C) [ARO:3000098]	874.2
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	1001043515|WP_061189306.1|1|1|blaPDC-114|blaPDC|hydrolase|class_C_beta-lactamase_PDC-114	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	603.0
MB-RF036	ClassC-AmpC	1001043515|WP_061189306.1|1|1|blaPDC-114|blaPDC|hydrolase|class_C_beta-lactamase_PDC-114	Class C beta-lactamases [ARO:3000076;ARO:3000019]	578.0
MB-RF047	PDC	1001044756|WP_061190338.1|1|1|blaPDC-226|blaPDC|hydrolase|class_C_beta-lactamase_PDC-226	PDC betalactamase (class C) [ARO:3000098]	873.7
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	1001044756|WP_061190338.1|1|1|blaPDC-226|blaPDC|hydrolase|class_C_beta-lactamase_PDC-226	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	604.1
MB-RF036	ClassC-AmpC	1001044756|WP_061190338.1|1|1|blaPDC-226|blaPDC|hydrolase|class_C_beta-lactamase_PDC-226	Class C beta-lactamases [ARO:3000076;ARO:3000019]	579.3
MB-RF047	PDC	1001048246|WP_061193023.1|1|1|blaPDC-116|blaPDC|hydrolase|class_C_beta-lactamase_PDC-116	PDC betalactamase (class C) [ARO:3000098]	874.6
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	1001048246|WP_061193023.1|1|1|blaPDC-116|blaPDC|hydrolase|class_C_beta-lactamase_PDC-116	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	603.9
MB-RF036	ClassC-AmpC	1001048246|WP_061193023.1|1|1|blaPDC-116|blaPDC|hydrolase|class_C_beta-lactamase_PDC-116	Class C beta-lactamases [ARO:3000076;ARO:3000019]	578.6
MB-RF047	PDC	1001048721|WP_061193431.1|1|1|blaPDC-298|blaPDC|hydrolase|class_C_beta-lactamase_PDC-298	PDC betalactamase (class C) [ARO:3000098]	872.2
MB-RF038	CMY-LAT-MOX-ACT-MIR-FOX	1001048721|WP_061193431.1|1|1|blaPDC-298|blaPDC|hydrolase|class_C_beta-lactamase_PDC-298	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)" [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	601.6
