Accession	family	query_name	Resfams_description	Ontology_Level
NF000034.1	AAC_2p_Ic	MEG_13|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME	AAC_2p_Ic: aminoglycoside N-acetyltransferase AAC(2')-Ic	variant
NF000100.2	AAC_2p_IIa	MEG_14|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME	AAC_2p_IIa: kasugamycin N-acetyltransferase AAC(2')-IIa	variant
NF000054.1	AAC_2p_Ie	MEG_15|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME	AAC_2p_Ie: aminoglycoside N-acetyltransferase AAC(2')-Ie	variant
NF033472.1	AAC_2p_IIb	MEG_16|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME	AAC_2p_IIb: kasugamycin N-acetyltransferase AAC(2')-IIb	variant
NF000108.1	AAC_2p_Ia	MEG_17|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME	AAC_2p_Ia: aminoglycoside N-acetyltransferase AAC(2')-Ia	variant
NF000010.1	AAC_2p_Ib	MEG_18|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME	AAC_2p_Ib: aminoglycoside N-acetyltransferase AAC(2')-Ib	variant
NF000042.1	AAC_2p_Id	MEG_19|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME	AAC_2p_Id: aminoglycoside N-acetyltransferase AAC(2')-Id	variant
NF033080.0	AAC_3_II	MEG_20|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_II: AAC(3)-II family aminoglycoside N-acetyltransferase	variant
NF033080.0	AAC_3_II	MEG_21|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_II: AAC(3)-II family aminoglycoside N-acetyltransferase	variant
NF033083.0	AAC_3_I	MEG_22|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033180.1	AAC_3_VIII	MEG_23|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_VIII: aminoglycoside N-acetyltransferase AAC(3)-VIII	variant
NF033083.0	AAC_3_I	MEG_24|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033083.0	AAC_3_I	MEG_25|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033083.0	AAC_3_I	MEG_26|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033083.0	AAC_3_I	MEG_27|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033083.0	AAC_3_I	MEG_28|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033083.0	AAC_3_I	MEG_29|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033083.0	AAC_3_I	MEG_30|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033083.0	AAC_3_I	MEG_31|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033081.0	AAC_3_IV	MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_IV: AAC(3)-VI family aminoglycoside N-acetyltransferase	variant
NF033180.1	AAC_3_VIII	MEG_33|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_VIII: aminoglycoside N-acetyltransferase AAC(3)-VIII	variant
NF033180.1	AAC_3_VIII	MEG_34|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_VIII: aminoglycoside N-acetyltransferase AAC(3)-VIII	variant
NF033083.0	AAC_3_I	MEG_35|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033080.0	AAC_3_II	MEG_36|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_II: AAC(3)-II family aminoglycoside N-acetyltransferase	variant
NF033083.0	AAC_3_I	MEG_37|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033083.0	AAC_3_I	MEG_40|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033080.0	AAC_3_II	MEG_41|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_II: AAC(3)-II family aminoglycoside N-acetyltransferase	variant
NF000482.1	AAC_3_XI	MEG_42|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_XI: aminoglycoside N-acetyltransferase AAC(3)-XI	variant
NF033083.0	AAC_3_I	MEG_43|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033080.0	AAC_3_II	MEG_44|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_II: AAC(3)-II family aminoglycoside N-acetyltransferase	variant
NF033080.0	AAC_3_II	MEG_45|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_II: AAC(3)-II family aminoglycoside N-acetyltransferase	variant
NF033080.0	AAC_3_II	MEG_46|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_II: AAC(3)-II family aminoglycoside N-acetyltransferase	variant
NF033082.0	AAC_3	MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3: aminoglycoside 3-N-acetyltransferase	gene
NF033083.0	AAC_3_I	MEG_49|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033083.0	AAC_3_I	MEG_50|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033081.0	AAC_3_IV	MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_IV: AAC(3)-VI family aminoglycoside N-acetyltransferase	variant
NF033082.0	AAC_3	MEG_52|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3: aminoglycoside 3-N-acetyltransferase	gene
NF033082.0	AAC_3	MEG_53|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3: aminoglycoside 3-N-acetyltransferase	gene
NF033082.0	AAC_3	MEG_54|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3: aminoglycoside 3-N-acetyltransferase	gene
NF033180.1	AAC_3_VIII	MEG_55|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_VIII: aminoglycoside N-acetyltransferase AAC(3)-VIII	variant
NF033082.0	AAC_3	MEG_56|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3: aminoglycoside 3-N-acetyltransferase	gene
NF033082.0	AAC_3	MEG_57|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3: aminoglycoside 3-N-acetyltransferase	gene
NF033080.0	AAC_3_II	MEG_58|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_II: AAC(3)-II family aminoglycoside N-acetyltransferase	variant
NF033080.0	AAC_3_II	MEG_60|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_II: AAC(3)-II family aminoglycoside N-acetyltransferase	variant
NF033080.0	AAC_3_II	MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_II: AAC(3)-II family aminoglycoside N-acetyltransferase	variant
NF033082.0	AAC_3	MEG_62|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3: aminoglycoside 3-N-acetyltransferase	gene
NF033083.0	AAC_3_I	MEG_63|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033082.0	AAC_3	MEG_65|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3: aminoglycoside 3-N-acetyltransferase	gene
NF033082.0	AAC_3	MEG_66|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3: aminoglycoside 3-N-acetyltransferase	gene
NF033083.0	AAC_3_I	MEG_67|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033083.0	AAC_3_I	MEG_68|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033083.0	AAC_3_I	MEG_69|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
NF033083.0	AAC_3_I	MEG_70|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME	AAC_3_I: AAC(3)-I family aminoglycoside N-acetyltransferase	variant
